phylum,classe,ordine,famiglia,specie_lat,specie_it,L. 157/92 art. 2,L. 157/92,79/409 CEE Ap.1,79/409 CEE Ap.2/I,79/409 CEE Ap.2/II,79/409 CEE Ap.3/I,79/409 CEE Ap.3/II,BERNA Ap.2,BERNA Ap.3,CITES All. A,CITES All. B,CITES All. D,BONN Ap.1,BONN Ap.2,HABITAT Ap.2,HABITAT Ap.4,HABITAT Ap.5,BARCELLONA all. 2,ENDEMICA,CHECKLIST,IUCN,Valori
Annelida,HIRUDINEA,GNATHOBDELLAE,Hirudinidae,"Hirudo medicinalis (Linnaeus, 1758)",Sanguisuga,,,,,,,,,x,,x,,,,,,,,,,"A minor rischio, Quasi a rischio",2
Arthropoda,CRUSTACEA,DECAPODA,Astacidae,"Astacus astacus (Linnaeus, 1758)",Astice,,,,,,,,,x,,,,,,,,x,,,,Vulnerabile,2
Arthropoda,CRUSTACEA,DECAPODA,Astacidae,"Austropotamobius pallipes (Lereboullet, 1858)",Gambero di fiume,,,,,,,,,x,,,,,,x,,x,,,,Vulnerabile,3
Arthropoda,CRUSTACEA,DECAPODA,Majidae,"Maja squinado (Herbst, 1788)",Granceola,,,,,,,,,x,,,,,,,,,,,,None,1
Arthropoda,CRUSTACEA,DECAPODA,Nephropidae,"Homarus gammarus (Linnaeus, 1758)",Astice,,,,,,,,,x,,,,,,,,,,,,None,1
Arthropoda,CRUSTACEA,DECAPODA,Ocypodidae,"Ocypode cursor (Linnaeus, 1758)",Granchio fantasma,,,,,,,,x,,,,,,,,,,,,,None,1
Arthropoda,CRUSTACEA,DECAPODA,Palinuridae,"Palinurus elephas (Fabricius, 1787)",Aragosta,,,,,,,,,x,,,,,,,,,,,,None,1
Arthropoda,CRUSTACEA,DECAPODA,Scyllaridae,"Scyllarides latus (Latreille,1803)",Cicala grande,,,,,,,,,x,,,,,,,,x,,,,None,2
Arthropoda,CRUSTACEA,DECAPODA,Scyllaridae,"Scyllarus arctus (Linnaeus, 1758)",Cicala di mare,,,,,,,,,x,,,,,,,,,,,,None,1
Arthropoda,CRUSTACEA,DECAPODA,Scyllaridae,"Scyllarus pygmaeus (Bate, 1888)",Cicala minore,,,,,,,,,x,,,,,,,,,,,,None,1
Arthropoda,HEXAPODA,COLEOPTERA,Bostrichidae,"Stephanopachys substriatus (Paykull, 1800)",,,,,,,,,x,,,,,,,x,x,,,,,None,3
Arthropoda,HEXAPODA,COLEOPTERA,Buprestidae,"Buprestis splendens Fabricius, 1774",,,,,,,,,x,,,,,,,x,x,,,,,None,3
Arthropoda,HEXAPODA,COLEOPTERA,Carabidae,"Carabus olympiae * Sella, 1855",,,,,,,,,x,,,,,,,x,x,,,x,,Vulnerabile,4
Arthropoda,HEXAPODA,COLEOPTERA,Cerambycidae,"Cerambyx cerdo (Linnaeus, 1758)",,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,COLEOPTERA,Cerambycidae,"Morimus funereus (Mulsant, 1863)",,,,,,,,,,,,,,,,x,,,,,,None,1
